ALIGN_SPLIT,OPTIMIZE_SPLIT,OPTIMIZE_REPS,CUDA_THREADS,N_RESTART,CLIPPING,SIM_THRESH,BUFFER_SIZE,WORKER_PARS,WORKER_BUCK,WORKER_DS,TIME,THROUG,AVG_RMSD
20,20,1,160,256,256,4,1048576,20,4,6,91.894,4892.60,2.11
20,20,2,128,256,30,4,52428800,20,4,6,121.146,3711.23,2.43
20,20,4,64,256,50,1,1048576,20,4,6,212.370,2117.06,2.25
20,20,4,160,256,256,1,2097152,20,4,6,182.016,2470.11,2.06
20,20,4,192,256,256,1,52428800,20,4,6,191.310,2350.11,2.06
20,20,4,256,256,50,3,52428800,20,4,6,184.962,2430.77,2.29
20,20,5,32,1024,10,3,1048576,20,4,6,749.520,599.85,2.51
20,20,5,192,256,10,2,10485760,20,4,6,207.147,2170.44,2.53
20,20,5,192,1024,256,4,2097152,20,4,6,816.908,550.36,2.12
20,20,5,224,256,50,3,5242880,20,4,6,230.605,1949.65,2.30
20,24,1,128,1024,50,4,20971520,20,4,6,275.360,1632.77,2.41
20,24,1,256,1024,30,3,2097152,20,4,6,302.972,1483.96,2.42
20,24,2,96,256,256,4,52428800,20,4,6,138.836,3238.36,2.09
20,24,3,64,1024,30,1,5242880,20,4,6,740.951,606.78,2.34
20,24,3,160,256,30,1,10485760,20,4,6,159.552,2817.89,2.31
20,24,3,192,256,30,2,10485760,20,4,6,167.959,2676.84,2.32
20,24,3,256,1024,50,2,10485760,20,4,6,609.939,737.12,2.29
20,24,5,192,256,256,3,5242880,20,4,6,240.786,1867.22,2.08
20,32,2,96,1024,50,3,5242880,20,4,6,523.833,858.29,2.32
20,32,2,224,256,10,1,1048576,20,4,6,156.038,2881.35,2.76
20,32,2,256,256,50,1,5242880,20,4,6,149.437,3008.63,2.20
20,32,3,96,1024,10,4,1048576,20,4,6,703.386,639.19,2.69
20,32,3,256,256,50,2,10485760,20,4,6,193.141,2327.83,2.22
20,32,5,32,1024,10,2,2097152,20,4,6,995.029,451.84,2.62
20,32,5,192,256,256,2,2097152,20,4,6,287.328,1564.76,2.06
20,48,1,192,1024,30,2,2097152,20,4,6,408.639,1100.24,2.35
